marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,15457554,RW94RGON9E8CM,B004VM9JCS,22707685,"Burt's Bees Eye Cream for Sensitive Skin, 0.5 Ounces",Beauty,3,1,1,N,Y,Three Stars,"This is for younger skins, but its gentle with your eyes",7/6/2015
US,38428756,R31Q99UE3D6FZU,B00D9NV2D4,794858888,Shea Butter,Beauty,5,0,0,N,Y,MUST BUY!,This product is really great and worth every cent. The packaging is sent as expected and the shea butter is pure and unrefined. Great product,8/15/2015
US,13277387,RTX1OFPQ490X,B00M1SUW7K,246816549,"Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength, Firm Hold",Beauty,3,0,1,N,Y,GREAT LOOKING WAS BUT IT JUST DIDNT WORK FOR ME,"Product Name: Secondary Moustache Wax<br />Short Description: This is a mustache wax used to shape a mustache in to different shapes including the handlebar style.<br />Visual Appearance ★★<br />Intended Purpose ★★★<br />Cost ★★<br />Quality ★★★★★<br /><br />Pros & Cons<br />Pros:<br />★ With a little work this helps shape the mustache into the desired style.<br />★No major smell, even though it does have a little waxy smell to it but I didn't mind, gives me something to do.<br /><br />Cons:<br />This wax just did not work for my hair, I have very thick mustache hair and it was very hard to shape it but it was possible to do. The reason I gave it three stars was because in addition to the difficulty after a little while later with normal body heat or from being in the florida weather the was would melt and then it would just look like a bunch of tan looking wax on my mustache similar to gel on hair when it dries up or you sleep with it overnight. I think that it might still work for others but it didn't for me.<br /><br />Final Thoughts and Personal Opinion: I would like to say I still gave it 3 stars because the company fully stands behind its product. If this is something that you're looking for give it a try, you might have a better experience otherwise they're always there to help.<br /><br />Reviewed by Rody Aroche",5/29/2015
US,41229394,R1WIL5ABWZOIAU,B000NL0T1G,585793391,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",Beauty,5,1,1,N,Y,High quality well engineered instrument,High quality well engineered instrument. A bargain at 30 bucks. Tough to top this German engineered shaving instrument. Well balanced long handle is perfect for me as I have a bigger hand with longer fingers.,8/29/2015
US,45101905,R1RI19FYJE6DIM,B00KCFAZTE,100743892,"InstaNatural Eye Gel Cream - Wrinkle, Dark Circle, Fine Line & Redness Reducer - Pure & Organic Anti Aging Blend for Men & Women with Hyaluronic Acid - Fight Bags & Lift Skin Under Eyes – 50ml…",Beauty,3,0,0,N,Y,Three Stars,Did not help me I feel it makes it worse still have bags under my eyes.,8/31/2015
US,27388082,R3OWCI2ZDJTJ4D,B003KL8CB0,328680790,Jenna Jameson Heartbreaker Perfume parent,Beauty,5,0,0,N,N,I love the smell of this perfume its one of my ...,I love the smell of this perfume its one of my favorite in my collection. I have got stopped by many people in just the 2 days I have wore it and they have asked me what I am wearing. I am so happy that I purchased this amazing perfume. I will be purchasing this again real soon. I was able to purchase this at a discounted price for my honest and unbiased review,8/21/2015
US,10873848,R25LYN7HNBJOSO,B00DSYFYRE,858538418,Dr Song Benzoyl Peroxide 10% Acne Cream Gel Treatment Lotion up to 8oz,Beauty,5,0,3,N,Y,5 version for awhile and it worked great. Now I'm pregnant and it just wasn't strong ...,Have used the 2.5 version for awhile and it worked great. Now I'm pregnant and it just wasn't strong enough. 10% gel is strong and soaks in immediately. Love that it is clear and doesn't stain my clothes or sheets. Big fan and love the pump dispenser.,8/28/2015
US,34388851,R2QHDIW9750ZGV,B003UKKH6O,10034795,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,Beauty,3,0,0,N,Y,Just OK,Not as good as the older version that came before this. Missing a light that tells you when it's fully charged.,3/7/2015
US,27056861,R27GK3FVTQAFRB,B00W47D9K0,106718297,L.A. Girl Matte Flat Finish Pigment Gloss,Beauty,2,0,0,N,Y,It can be somewhat fixed with more coats but it gets incredibly dark--not like the picture,"You really need to get it on perfectly FAST. I thought everyone else saying that was just being whiny but you really do, and it tends to settle in uneven colors. It can be somewhat fixed with more coats but it gets incredibly dark--not like the picture. Also nearly impossible to get off your lips!",8/21/2015
US,2965612,R2TNW984VABBTA,B004OHQR1Q,709054453,"Dotting 5 X 2 Way Marbleizing Dotting Pen Set for Nail Art Manicure Pedicure, 4 Ounce",Beauty,5,0,0,N,Y,"I had normally for years been using wooden cuticle sticks or tooth picks and while they do work good, these work so much better","These Dotting 5 X 2 Way Marbleizing Dotting Pen Set for Nail Art Manicure Pedicure By Dotting are a must have for doing any kind of nail art. I was so excited to get these. I had normally for years been using wooden cuticle sticks or tooth picks and while they do work good, these work so much better.<br /><br />I honestly could not believe the price and how darn cute they were. I really love the design inside. So cute. They work perfectly and I highly recommend them for anyone wanting to do designs on your nails.<br /><br />One of my favorites in my nail kit. So cute 5++",8/24/2015
US,51053659,R2FOC0RGJ330JT,B00SM99KWU,116158747,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,5,0,0,N,Y,The best sunscreen,No smell and not greasy!,6/22/2015
US,472346,RRWWNGREKKSC4,B008Y9M412,874223919,Etude House Fresh Cherry Tint # 02 RD301,Beauty,5,0,0,N,Y,Five Stars,Very good,8/20/2015
US,1430793,RBS4ALIXUDDL8,B00112TIIQ,497314489,"Clubman Superhold Styling Gel, 16 oz",Beauty,5,0,0,N,Y,Five Stars,Great hold. Smells great,7/23/2015
US,41137196,R1O5HZBOVLX8CY,B006MWL2ZM,57378789,Goddess Remi Human Hair Weave Bump - Trio 2 4 6,Beauty,2,0,0,N,Y,Two Stars,This was not what I expected.,8/31/2015
US,17073780,RRK7M29MPRKJG,B001KYQA1S,9612905,"Maybelline Great Lash Washable Mascara, Clear [110], 1 ea",Beauty,4,0,0,N,Y,I like!,I think I find a new gel mascara.,5/19/2015
US,37689242,R2APDZ64OELA63,B00PATJU8Y,379370722,TRESemmé PERFECTLY (UN)DONE Hair Spray 7.7 oz,Beauty,5,0,0,N,N,It looks great even in the heat and humidity,"I am a snob when it comes to products and have tried all the expensive beach sprays. This one beats them all. I have wavy curly hair that tends to frizz in humidity. I use my reg products after washing and when my hair is damp I spay a little on and work it through. My hair is soft, curly and wavy with no frizz. It looks great even in the heat and humidity. I bought one bottle to try and am thinking of trying some of the other &#34;undone&#34; products.",7/13/2015
US,5154171,R3DD8ZXUJKVI5H,B008Y9M412,874223919,Etude House Fresh Cherry Tint # 02 RD301,Beauty,4,0,0,N,Y,great product!,"I really enjoy this product because the color is build-able, it smells like cherries, and the formula is watery at first but then dries up like a lip tint should. But it sometimes does not give me the gradient lip that im looking for because it is hard to blend and fade. I still really really like this product!",7/20/2015
US,12115257,R3P0GYQKJKPLV7,B000NL0T1G,585793391,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",Beauty,1,6,8,N,Y,Not even close!,"Only had this a week but, not impressed so far. My DE I bought from TV Ad (Pawn Star guy recommended) gives me a better shave. Have read up on shaving methods all of which I already knew as I am no rookie at this only using the Merkur. The Sandalwood soap I bought with the package deal while it smells nice it clogs the Merkur with each stroke and is difficult to wash out. Too rich?<br /><br />The guard function seems to be the issue as it doesn't allow much contact with the blade. Have replaced the blade twice already w/out any better shave. Very disappointed and intend on returning if I can't figure out something I am doing wrong (tried different angles too). Read where DE razors with guard are designed for protective shaves more so than clean shaves? Why bother.....",8/5/2015
US,21343525,R80ZPBBYK91VD,B00SAQ9DZY,292127037,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",Beauty,5,0,0,N,Y,Work great!,They are great for my oil samples for friends!,8/19/2015
US,2456231,R12J2ETYZGK2J1,B000NL0T1G,585793391,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",Beauty,5,0,0,N,Y,I went with Merkur because of it's reputation and it was a safe choice and glad I went with this brand,I was pulled by all the different safety shavers to get as I recently converted to safety razors. I went with Merkur because of it's reputation and it was a safe choice and glad I went with this brand. It looks classy and it's cost efficient. I wouldn't stress too much if you are about what brand to buy. It probably won't be a big difference in the end but only the price. Go with this if you want to be safe and happy,8/5/2015
US,33774,R1T9ABQYX7ZJ6H,B00YMMENPK,74880696,Rose Water,Beauty,5,0,0,N,Y,awesome,"High quality product. Fast shipping. Completely satisfied. Refreshing after effect , a big thumbs up !",8/30/2015
US,22254633,R107UCY9A9ITZH,B004QM0OJ0,296319484,TheraBreath Dry Mouth Lozenges,Beauty,5,0,0,N,Y,Five Stars,Very good.,8/8/2015
US,3213677,R3I8HGFHAF3S9L,B00TR6HX76,49538905,"Cynergy Health Science Organic Vitamin C Serum - 20% Vitamin C Serum plus Vegan Hyaluronic Acid with Aloe for Reducing Sun Spots, Age Spots, Anti-Aging and Anti-Wrinkle Skin",Beauty,5,0,0,N,N,Five Stars,Very good!,8/31/2015
US,52892429,RV7B7ISU1ADNU,B004VM9JCS,22707685,"Burt's Bees Eye Cream for Sensitive Skin, 0.5 Ounces",Beauty,2,1,1,N,Y,It stings my eyes. Aren't you supposed to be ...,It stings my eyes. Aren't you supposed to be able to rub it all over your eyes?,8/12/2015
US,25631896,RYKK1HL50RP2A,B00DSYFYRE,858538418,Dr Song Benzoyl Peroxide 10% Acne Cream Gel Treatment Lotion up to 8oz,Beauty,5,0,2,N,Y,Great Product,Been using it for a few weeks now and works just as well as the small overpriced 1 oz tubes from the store but at a much better price. Love the pump too - much easier to handle while applying.,8/30/2015
US,45759368,R1WSP56LVGRE5O,B004FAWBTO,29111220,Carolina Herrera 3.4 fl oz Eau De Toilette Spray for Men,Beauty,5,0,0,N,Y,My favorite product I love it,My favorite product I love it,6/8/2015
US,49385768,R3UZZNKTEPWNU8,B00SAQ9DZY,292127037,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",Beauty,1,1,2,N,N,Poor Quality,These bottles are very cheap. They crack very easily. Couldn't use any of them because most of them cracked while simply unscrewing the top. This was a waste of money.,6/21/2015
US,1577708,R17UDVGKSN2X49,B00SMIIR0W,351973146,Schick Hydro Silk TrimStyle Moisturizing Razor,Beauty,5,0,0,N,Y,worth it,If you don't have this in your life I don't know how your surviving! I absolutely love both ends of the razor and trimer,7/29/2015
US,11226576,R3H2OB8OAUZR28,B0016J22EQ,106393691,"Alba Botanica Sunless Tanning Lotion, 4 Ounce",Beauty,3,0,0,N,Y,Three Stars,"It tans nicely, leaving skin nice and soft.",6/22/2015
US,12558977,RC6Z5X9GNA12Z,B001SYWTFG,111742328,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,Beauty,5,0,0,N,Y,Best eyeliner!,I've used this exact eyeliner for over 10 years. It goes on so easily and stays put all day. It's the best!,12/24/2013
US,1778076,R3C6ALUXJ3M0E0,B00EMJMEFY,343124386,6packs Eyelashes - 747S by Christina,Beauty,5,0,0,N,Y,Great Lashes!,Great bargain! I love these lashes! Another great dupe for the Red Cherry Lashes!,8/31/2015
US,14686796,R2JFBGYXFLJJBK,B00EMJMEFY,343124386,6packs Eyelashes - 747S by Christina,Beauty,5,0,1,N,Y,Im a MUA and these lashes are perfect for clients who don't wear much makeup or have ...,Im a MUA and these lashes are perfect for clients who don't wear much makeup or have never worn false lashes before. They look really pretty and natural on. Definitely going to keep ordering more of these!,8/17/2015
US,47777079,R3M7D59WJIS3YG,B00W47D9K0,106718297,L.A. Girl Matte Flat Finish Pigment Gloss,Beauty,1,1,1,N,Y,One Star,didn't like this,8/4/2015
US,45026797,R1NPMZKOTJY63K,B00KCFAZTE,100743892,"InstaNatural Eye Gel Cream - Wrinkle, Dark Circle, Fine Line & Redness Reducer - Pure & Organic Anti Aging Blend for Men & Women with Hyaluronic Acid - Fight Bags & Lift Skin Under Eyes – 50ml…",Beauty,3,0,0,N,Y,No Results Yet,"Have been using this product consistently now for about 3 weeks. I cannot tell any difference with the the dark circles yet, but I'm still hoping...stings a little too.",8/27/2015
US,9572140,R2LVYWBMFQN9LE,B00112TIIQ,497314489,"Clubman Superhold Styling Gel, 16 oz",Beauty,5,0,0,N,Y,Five Stars,good product,8/18/2015
US,17460434,R2LCZ7U28KB35E,B00EMJMEFY,343124386,6packs Eyelashes - 747S by Christina,Beauty,5,0,0,N,Y,Five Stars,Love these.,7/1/2015
US,36902357,RV96GMRKTE8LH,B004QM0OJ0,296319484,TheraBreath Dry Mouth Lozenges,Beauty,5,0,0,N,Y,Five Stars,Excellent,8/19/2015
US,36523796,R3JI1AGXGVNWJC,B002JPJ2ZS,507629966,Viviscal Extra Strength Hair Nutrient Tablets,Beauty,5,31,38,N,N,"It works, but be patient!","I am a 41 year old African American female. I have been using Viviscal for about 2 years now. With this product slow and steady wins the race. My hair had never grown much past my shoulders without breaking. I can happily say that my hair is now about two inches above my waist. I would NEVER have believed my hair could grow so long if I had not witnessed the results with my own eyes. Funny thing is I never took Viviscal for hair growth but I took it to reduce shedding and prevent/ reverse hair thinning. It has done all of the above. It is a bit pricey, but so worth the money. But I need to emphasize this product works from the inside and takes time to work. Please give it a minimum of six months before you decide if it is working. But with Viviscal, your patience will be rewarded.",7/13/2015
US,47440922,R1GQQQ953CGXK1,B00B3CUA0E,603208558,"Premium Quality 20 New Diamond Series Sqaure Empty Clear Plastic Cosmetic Containers 5 Gram Size Pot Jars Eyshadow Container Lot Size: Diameter: 1 1/2"" x 1 1/2"" (Comes With 1 Free Myo Eyeshadow Sample)",Beauty,5,0,1,N,Y,Very Nice!,Purchased these for my daughter to conjure up some solid perfume and she said they were very nice & just perfect for her application...,2/18/2014
US,5747976,R2XBVCBU2SMVEN,B00B3CUA0E,603208558,"Premium Quality 20 New Diamond Series Sqaure Empty Clear Plastic Cosmetic Containers 5 Gram Size Pot Jars Eyshadow Container Lot Size: Diameter: 1 1/2"" x 1 1/2"" (Comes With 1 Free Myo Eyeshadow Sample)",Beauty,5,0,0,N,Y,"I like this, is for my first proyect","I like this, is for my first proyect, I don't do it yet, but I think is perfect for lip scrubs, and the price is right, I stared collecting all stuff for quinciañera gives aways, I believe I going need Moore,",8/12/2015
US,17790387,R2994N6AKT69ZX,B003UKKH6O,10034795,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,Beauty,5,0,0,N,Y,Great value,Works great and would buy another when needed,12/5/2014
US,14418767,R1FLLKJD2I8M6R,B007S69QAY,602097956,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,Beauty,5,0,0,N,N,Five Stars,Love these! Leaves my hair shiney and healthy looking!,12/28/2014
US,23242029,R9ORNO185XY7,B00KCFAZTE,100743892,"InstaNatural Eye Gel Cream - Wrinkle, Dark Circle, Fine Line & Redness Reducer - Pure & Organic Anti Aging Blend for Men & Women with Hyaluronic Acid - Fight Bags & Lift Skin Under Eyes – 50ml…",Beauty,4,0,0,N,Y,Four Stars,it is a bit harsh,8/24/2015
US,45844443,RW70OUSBVWMLT,B00O09E33C,216529863,"Clogged Pores Natural Cleansing Kit - Vegan Cleanser Face Wash Soap 3.4 oz and Facial Cream 1.7 oz Care - Shea, Olive, Jojoba, Tea Tree & Almond Oils Blend Set",Beauty,5,1,2,N,N,Fantastic products :D,"I received the clogged pores natural cleansing kit about ten days ago. Since then, I have been using it daily to wash and moisturize my face.<br />First, let me strt with the presentation. The kit came in a very cute package box. I really liked how pretty it ws. It definitely looks like a good gift for a friend. I love the containers the products renin. The box for the soap opens up like a flower and holds the bar in the place. The lotion is in a very secure glass jar that feels like both very high quality and durable. Both products look very nice on my counter.<br /><br />The soap smells very wonderful. I really like washing my face with it as it does not leave it dry nor sticky like some cleansers do. I cut up the soap into four squares so that I can control how much I use of it better.<br /><br />The moisturizer is my fvorige part. It feels so wonderful on my skin! Just a little of it is enough to cover my whole face-- though sometimes I do two layers because I enjoy the feeling of it. It really is very nice and feels wonderful.<br /><br />As for the effectiveness of the products, I have been using em for 10 days and my face does feel a little cleaner, smoother, and softer. It's not a dramatic change, but I have only been using it for a short time. I expect greater results with time and will update this review accordingly. Thank you Aya Natiral!",8/31/2015
US,13179235,R25NEX2S23P5JS,B00B3CUA0E,603208558,"Premium Quality 20 New Diamond Series Sqaure Empty Clear Plastic Cosmetic Containers 5 Gram Size Pot Jars Eyshadow Container Lot Size: Diameter: 1 1/2"" x 1 1/2"" (Comes With 1 Free Myo Eyeshadow Sample)",Beauty,4,0,1,N,Y,Great delivery. Nice product.,"Wish these were a bit larger, but as is, will hold my DIY glosses just fine.",1/22/2015
US,16126650,R229GSOBWB8JT7,B00PKIE760,196988457,"InstaNatural Cellulite Cream - With Caffeine and Retinol - Firming Lotion and Dimple Remover for Legs, Arms, Stomach, Buttocks and More - No Wrap Needed - With Jojoba Oil and Vitamin E - 4 OZ",Beauty,4,0,0,N,N,Four Stars,Makes skin feel soft and haven't noticed a difference in cellulite.,8/29/2015
US,20889256,R2DNYC7T1RRYU6,B00B3CUA0E,603208558,"Premium Quality 20 New Diamond Series Sqaure Empty Clear Plastic Cosmetic Containers 5 Gram Size Pot Jars Eyshadow Container Lot Size: Diameter: 1 1/2"" x 1 1/2"" (Comes With 1 Free Myo Eyeshadow Sample)",Beauty,5,0,0,N,Y,Great little containers!,"Great little containers! Good quality, exactly as described and perfect for sampling! Good value!",7/22/2015
US,12467071,R3PPXBV9JI9ESL,B00SMIIR0W,351973146,Schick Hydro Silk TrimStyle Moisturizing Razor,Beauty,5,0,0,N,Y,Five Stars,Best razor ever!,7/30/2015
US,33328603,R2C3O7GH8DYPM2,B004VM9JCS,22707685,"Burt's Bees Eye Cream for Sensitive Skin, 0.5 Ounces",Beauty,2,1,1,N,N,Not for sensitive eyes,"This may be for sensitive skin, but it is not for sensitive eyes. Stings my eyes just like every other eye cream I've tried :(",8/18/2015
US,50707626,R23MT9770A1KJ2,B00HDZGF4K,371977855,"Joy & Karma Topical Vitamin C Anti Aging Serum for Face with Hyaluronic Acid, 1 fl oz",Beauty,4,0,0,N,N,Four Stars,Very good product,8/31/2015
US,44057097,R3RIJDZCYZBD2T,B007S69QAY,602097956,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,Beauty,2,0,0,N,Y,Curls Never Stayed..,"The first time I tried these my hair was really clean. I use BioSilk shampoo & conditioner, then I spray 12 Benefits Healthy Hair Treatment (SO AMAZING), brush my hair, and let it air dry. The next morning I used these curlers. I left them in for the longest time so that the curls would be tight curls and they would relax throughout the day. Well that was wishful thinking because after about 20 minutes (after I took the curlers out) my hair was just plain wavy. So I thought my hair was just too clean. So the next time I tried it I washed my hair exactly the same & even used my hair treatment again but I also used mousse in my hair thinking it would make the curls stick. NOPE. Same thing happened. SO, the THIRD time I attempted to do my hair I used my same shampoo & conditioner routine but DID NOT put my hair treatment in, instead I used some hair wax and let my hair dry. That still didn't make the curls stay. I do have fine hair but my hair can last with curls all day if I use my straightener or curling wand. I really wanted to use curlers to make my morning routine more simple but it has just become more frustrating. I don't think the velvety coating on these rollers is a good idea for my thin hair I think that's why my hair won't stay curled? Unfortunately, I will be returning these. I did like the clips that came with these rollers though. I know some people mentioned it leaves marks in your hair but I found out, by my trial and errors, that if you kind of brush your hair with the clip when you are putting it on the roller (after you have already rolled up your hair) that you don't get the marks in your hair. Worked for me anyway.",12/22/2014
US,37607641,R1BCBUG3MAGS4E,B004QM0OJ0,296319484,TheraBreath Dry Mouth Lozenges,Beauty,5,0,0,N,Y,These are great for dry mouth and bad breath,These are great for dry mouth and bad breath. My son and I use all the time. I order 6 -12 boxes at a time.,8/21/2015
US,5261935,R1NAJBT1TAU4SA,B00PKIE760,196988457,"InstaNatural Cellulite Cream - With Caffeine and Retinol - Firming Lotion and Dimple Remover for Legs, Arms, Stomach, Buttocks and More - No Wrap Needed - With Jojoba Oil and Vitamin E - 4 OZ",Beauty,2,0,0,N,N,Two Stars,Didn't like the smell.... Glad I got this on a trial basis price....,8/26/2015
US,44522791,R6Y3X2FS0OFV4,B007S69QAY,602097956,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,Beauty,1,0,0,N,Y,they did nothing for my hair :(,I have waist length hair and these barely curled the ends. :( maybe would work better for thin and shorter hair :/,12/4/2014
US,11998035,R1WYKHASWGOADM,B007S69QAY,602097956,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,Beauty,1,3,3,N,Y,Do not recommend in good conscience,"Love the size of these rollers but unless you like to be tortured with burned fingers ears and scalp I say...NO WAY! I have subjected myself to these 3 times and 3 times is the charm, eye opener for me. Never in my life have I had curlers get SO HOT as to not be able to be handled at all. I will try another kind of set and if they turn out to be the same, I will go to the hair salon whenever I need my hair styled. Cannot understand the high reviews this product gets. I usually give anything Conair a 5 star but I just can't these.<br /><br />Does anybody know the customer service email address for amazon that actually works? When I go to this order it says time has past to return and does not have the contact us button. I believe that I have a defective set.",1/3/2015
US,21505056,R2U4OKAU3E3BNP,B007S69QAY,602097956,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,Beauty,4,0,0,N,Y,like the color,"like the color, case itself is a little slick but excellent value for a cell case, I will order again.",1/2/2015
US,13731606,R327WQ8QNEBBYO,B005CK3GIQ,903406164,"System 2 Noticeably Thinning For Fine Hair Kit Nioxin 10.1oz Cleanser, 5.07oz Scalp Therapy, 3.38oz Scalp Treatment Unisex 3 Pc Kit",Beauty,5,2,2,N,Y,Make hair appear fuller.,Bought this for my husband for mail pattern baldness. It does make hair look fuller.,7/4/2015
US,7603478,ROMX3MDSB8O2E,B00PKIE760,196988457,"InstaNatural Cellulite Cream - With Caffeine and Retinol - Firming Lotion and Dimple Remover for Legs, Arms, Stomach, Buttocks and More - No Wrap Needed - With Jojoba Oil and Vitamin E - 4 OZ",Beauty,4,0,0,N,N,This stuff was amazing. Not only did it tighten my skin but ...,Honest review. This stuff was amazing. Not only did it tighten my skin but it smelled great too. Would definitely buy again.,8/31/2015
